iter	Passed	Remaining
0	0	603
1	1	553
2	1	530
3	2	515
4	2	512
5	3	507
6	3	530
7	4	532
8	4	533
9	5	554
10	6	559
11	6	559
12	7	559
13	7	558
14	8	552
15	8	547
16	9	542
17	9	541
18	10	537
19	10	534
20	11	530
21	11	526
22	12	522
23	12	520
24	13	517
25	13	513
26	14	510
27	14	507
28	15	504
29	15	501
30	15	499
31	16	497
32	16	494
33	17	493
34	17	491
35	18	489
36	18	488
37	19	486
38	19	486
39	20	484
40	20	482
41	21	480
42	21	479
43	21	477
44	22	476
45	22	474
46	23	473
47	23	473
48	24	472
49	24	472
50	25	473
51	25	472
52	26	473
53	27	473
54	27	471
55	27	470
56	28	470
57	28	469
58	29	469
59	29	469
60	30	468
61	30	468
62	31	468
63	31	467
64	32	467
65	33	467
66	33	467
67	34	467
68	34	467
69	35	467
70	35	467
71	36	467
72	36	467
73	37	467
74	37	467
75	38	466
76	38	466
77	39	466
78	39	466
79	40	463
80	40	462
81	41	462
82	41	463
83	42	463
84	43	464
85	43	465
86	44	466
87	45	466
88	46	470
89	46	471
90	47	471
91	47	471
92	48	471
93	48	471
94	49	470
95	49	470
96	50	470
97	51	470
98	51	470
99	52	469
100	52	469
101	53	468
102	53	467
103	54	467
104	54	466
105	55	466
106	55	465
107	56	465
108	56	465
109	57	465
110	58	464
111	58	464
112	59	465
113	59	465
114	60	464
115	60	464
116	61	463
117	61	462
118	62	461
119	62	461
120	63	460
121	63	459
122	64	459
123	65	459
124	65	459
125	66	458
126	66	458
127	67	458
128	67	458
129	68	457
130	68	456
131	69	456
132	70	456
133	70	455
134	70	454
135	71	453
136	71	453
137	72	453
138	73	453
139	73	452
140	74	451
141	74	450
142	75	449
143	75	449
144	76	448
145	76	447
146	77	446
147	77	446
148	78	445
149	78	445
150	79	444
151	79	444
152	80	444
153	80	443
154	81	443
155	81	443
156	82	442
157	82	441
158	83	441
159	83	440
160	84	440
161	84	439
162	85	438
163	86	438
164	86	438
165	87	437
166	87	436
167	88	436
168	88	436
169	89	436
170	89	435
171	90	435
172	90	434
173	91	433
174	91	433
175	92	432
176	93	432
177	93	432
178	94	431
179	94	431
180	95	431
181	95	431
182	96	430
183	97	430
184	97	430
185	98	429
186	98	429
187	99	428
188	99	428
189	100	427
190	100	427
191	101	426
192	101	426
193	102	425
194	102	424
195	103	424
196	103	423
197	104	422
198	104	422
199	105	421
200	105	420
201	106	419
202	106	419
203	107	418
204	107	418
205	108	417
206	108	416
207	109	416
208	109	415
209	110	415
210	111	415
211	111	414
