iter	Passed	Remaining
0	0	559
1	1	504
2	1	483
3	1	471
4	2	462
5	2	456
6	3	450
7	3	446
8	4	444
9	4	446
10	4	446
11	5	447
12	5	447
13	6	448
14	6	448
15	7	447
16	7	447
17	8	447
18	8	445
19	9	443
20	9	440
21	9	438
22	10	438
23	10	436
24	11	434
25	11	433
26	12	434
27	12	432
28	12	431
29	13	429
30	13	428
31	14	428
32	14	427
33	15	426
34	15	425
35	15	424
36	16	423
37	16	422
38	17	422
39	17	420
40	17	419
41	18	418
42	18	417
43	19	417
44	19	416
45	20	415
46	20	414
47	20	413
48	21	412
49	21	411
50	22	410
51	22	410
52	22	409
53	23	408
54	23	407
55	24	407
56	24	406
57	24	405
58	25	404
59	25	403
60	26	402
61	26	403
62	27	403
63	27	402
64	27	401
65	28	401
66	28	400
67	29	400
68	29	399
69	30	398
70	30	398
71	30	397
72	31	397
73	31	396
74	32	396
75	32	395
76	32	395
77	33	394
78	33	393
79	34	393
80	34	392
81	35	391
82	35	389
83	35	388
84	36	388
85	36	387
86	36	387
87	37	386
88	37	386
89	38	385
90	38	385
91	38	384
92	39	384
93	39	383
94	40	383
95	40	382
96	41	381
97	41	381
98	42	382
99	42	382
100	42	381
101	43	381
102	43	380
103	44	380
104	44	379
105	44	378
106	45	378
107	45	377
108	46	377
109	46	376
110	47	376
111	47	376
112	47	376
113	48	375
114	48	375
115	49	375
116	49	374
117	50	374
118	50	375
119	51	374
120	51	374
121	51	373
122	52	373
123	52	373
124	53	372
125	53	372
126	54	371
127	54	371
128	54	370
129	55	370
130	55	369
131	56	369
132	56	370
133	57	370
134	57	369
135	58	369
136	58	368
137	58	368
138	59	367
139	59	367
140	60	366
141	60	365
142	60	365
143	61	364
144	61	363
145	62	363
146	62	362
147	62	362
148	63	361
149	63	361
150	64	361
151	64	360
152	65	360
153	65	360
154	65	359
155	66	359
156	66	358
157	67	358
158	67	358
159	68	358
160	68	357
161	69	357
162	69	356
163	69	356
164	70	355
